"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"S06.20","Diffuse cerebral and cerebellar brain injury, unspecified","S06.2",
"S06.21","Diffuse cerebral contusions","S06.2",
"S06.22","Diffuse cerebellar contusions","S06.2",
"S06.23","Multiple intracerebral and cerebellar haematomas","S06.2",
"S06.28","Other diffuse cerebral and cerebellar injury","S06.2",
"S06.30","Focal cerebral and cerebellar injury, unspecified","S06.3",
"S06.31","Focal cerebral contusion","S06.3",
"S06.32","Focal cerebellar contusion","S06.3",
"S06.33","Focal cerebral haematoma","S06.3",
"S06.34","Focal cerebellar haematoma","S06.3",
"S06.38","Other focal cerebral and cerebellar injury","S06.3",
"S10.10","Other and unspecified superficial injuries of throat, unspecified superficial injury","S10.1",
"S10.11","Other and unspecified superficial injuries of throat, abrasion","S10.1",
"S10.12","Other and unspecified superficial injuries of throat, blister","S10.1",
"S10.13","Other and unspecified superficial injuries of throat, insect bite","S10.1",
"S10.14","Other and unspecified superficial injuries of throat, superficial foreign body (splinter)","S10.1",
"S10.18","Other and unspecified superficial injuries of throat, other","S10.1",
"S10.80","Superficial injury of other parts of neck, unspecified","S10.8",
"S10.81","Superficial injury of other parts of neck, abrasion","S10.8",
"S10.82","Superficial injury of other parts of neck, blister","S10.8",
"S10.83","Superficial injury of other parts of neck, insect bite","S10.8",
"S10.84","Superficial injury of other parts of neck, superficial foreign body (splinter)","S10.8",
"S10.85","Superficial injury of other parts of neck, contusion","S10.8",
"S10.88","Superficial injury of other parts of neck, other","S10.8",
"S10.90","Superficial injury of neck, part unspecified, unspecified","S10.9",
"S10.91","Superficial injury of neck, part unspecified, abrasion","S10.9",
"S10.92","Superficial injury of neck, part unspecified, blister","S10.9",
"S10.93","Superficial injury of neck, part unspecified, insect bite","S10.9",
"S10.94","Superficial injury of neck, part unspecified, superficial foreign body (splinter)","S10.9",
"S10.95","Superficial injury of neck, part unspecified, contusion","S10.9",
"S10.98","Superficial injury of neck, part unspecified, other","S10.9",
"S11.01","Open wound of larynx","S11.0",
"S11.02","Open wound of trachea","S11.0",
"S11.21","Open wound of pharynx","S11.2",
"S11.22","Open wound of cervical oesophagus","S11.2",
"S11.81","Open wound (of any part of neck) communicating with a fracture","S11.8",
"S11.82","Open wound (of any part of neck) communicating with a dislocation","S11.8",
"S11.88","Open wound of other parts of neck","S11.8",
"S12.21","Fracture of third cervical vertebra","S12.2",
"S12.22","Fracture of fourth cervical vertebra","S12.2",
"S12.23","Fracture of fifth cervical vertebra","S12.2",
"S12.24","Fracture of sixth cervical vertebra","S12.2",
"S12.25","Fracture of seventh cervical vertebra","S12.2",
"S13.10","Dislocation of cervical vertebra, level unspecified","S13.1",
"S13.11","Dislocation of C1/C2 cervical vertebrae","S13.1",
"S13.12","Dislocation of C2/C3 cervical vertebrae","S13.1",
"S13.13","Dislocation of C3/C4 cervical vertebrae","S13.1",
"S13.14","Dislocation of C4/C5 cervical vertebrae","S13.1",
"S13.15","Dislocation of C5/C6 cervical vertebrae","S13.1",
"S13.16","Dislocation of C6/C7 cervical vertebrae","S13.1",
"S13.17","Dislocation of C7/T1 cervicothoracic vertebrae","S13.1",
"S13.18","Other dislocation of cervical vertebrae","S13.1",
"S14.10","Injury of cervical spinal cord, unspecified","S14.1",
"S14.11","Complete lesion of cervical spinal cord","S14.1",
"S14.12","Central cord syndrome (incomplete cord injury) of cervical spinal cord","S14.1",
"S14.13","Other incomplete cord syndrome of cervical spinal cord","S14.1",
"S14.7","Functional level of cervical spinal cord injury","Nil",
"S14.70","Functional spinal cord injury, cervical level unspecified","Nil",
"S14.71","Functional spinal cord injury, C1","Nil",
"S14.72","Functional spinal cord injury, C2","Nil",
"S14.73","Functional spinal cord injury, C3","Nil",
"S14.74","Functional spinal cord injury, C4","Nil",
"S14.75","Functional spinal cord injury, C5","Nil",
"S14.76","Functional spinal cord injury, C6","Nil",
"S14.77","Functional spinal cord injury, C7","Nil",
"S14.78","Functional spinal cord injury, C8","Nil",
"S15.00","Injury of carotid artery, unspecified","S15.0",
"S15.01","Injury of common carotid artery","S15.0",
"S15.02","Injury of external carotid artery","S15.0",
"S15.03","Injury of internal carotid artery","S15.0",
"S20.10","Other and unspecified superficial injuries of breast, unspecified","S20.1",
"S20.11","Other and unspecified superficial injuries of breast, abrasion","S20.1",
"S20.12","Other and unspecified superficial injuries of breast, blister","S20.1",
"S20.13","Other and unspecified superficial injuries of breast, insect bite","S20.1",
"S20.14","Other and unspecified superficial injuries of breast, superficial foreign body (splinter)","S20.1",
"S20.18","Other and unspecified superficial injuries of breast, other","S20.1",
"S20.30","Other superficial injuries of front wall of thorax, unspecified","S20.3",
"S20.31","Other superficial injuries of front wall of thorax, abrasion","S20.3",
"S20.32","Other superficial injuries of front wall of thorax, blister","S20.3",
"S20.33","Other superficial injuries of front wall of thorax, insect bite","S20.3",
"S20.34","Other superficial injuries of front wall of thorax, superficial foreign body (splinter)","S20.3",
"S20.38","Other superficial injuries of front wall of thorax, other","S20.3",
"S20.40","Other superficial injuries of back wall of thorax, unspecified","S20.4",
"S20.41","Other superficial injuries of back wall of thorax, abrasion","S20.4",
"S20.42","Other superficial injuries of back wall of thorax, blister","S20.4",
"S20.43","Other superficial injuries of back wall of thorax, insect bite","S20.4",
"S20.44","Other superficial injuries of back wall of thorax, superficial foreign body (splinter)","S20.4",
"S20.48","Other superficial injuries of back wall of thorax, other","S20.4",
"S20.80","Superficial injury of other and unspecified parts of thorax, unspecified","S20.8",
"S20.81","Superficial injury of other and unspecified parts of thorax, abrasion","S20.8",
"S20.82","Superficial injury of other and unspecified parts of thorax, blister","S20.8",
"S20.83","Superficial injury of other and unspecified parts of thorax, insect bite","S20.8",
"S20.84","Superficial injury of other and unspecified parts of thorax, superficial foreign body (splinter)","S20.8",
"S20.88","Superficial injury of other and unspecified parts of thorax, other","S20.8",
"S21.81","Open wound (of any part of thorax) communicating with a fracture","S21.8",
"S21.82","Open wound (of any part of thorax) communicating with a dislocation","S21.8",
"S21.83","Open wound (of any part of thorax) communicating with an intrathoracic injury","S21.8",
"S21.88","Open wound of other parts of thorax","S21.8",
"S22.00","Fracture of thoracic vertebra, level unspecified","S22.0",
"S22.01","Fracture of thoracic vertebra, T1 and T2 level","S22.0",
"S22.02","Fracture of thoracic vertebra, T3 and T4 level","S22.0",
"S22.03","Fracture of thoracic vertebra, T5 and T6 level","S22.0",
"S22.04","Fracture of thoracic vertebra, T7 and T8 level","S22.0",
"S22.05","Fracture of thoracic vertebra, T9 and T10 level","S22.0",
"S22.06","Fracture of thoracic vertebra, T11 and T12 level","S22.0",
"S22.31","Fracture of first rib","S22.3",
"S22.32","Fracture of one rib, other than first rib","S22.3",
"S22.40","Multiple rib fractures, unspecified","S22.4",
"S22.41","Multiple rib fractures, involving first rib","S22.4",
"S22.42","Multiple rib fractures, involving two ribs","S22.4",
"S22.43","Multiple rib fractures, involving three ribs","S22.4",
"S22.44","Multiple rib fractures involving four or more ribs","S22.4",
"S23.10","Dislocation of thoracic vertebra, level unspecified","S23.1",
"S23.11","Dislocation of T1/T2 and T2/T3 thoracic vertebrae","S23.1",
"S23.12","Dislocation of T3/T4 and T4/T5 thoracic vertebrae","S23.1",
"S23.13","Dislocation of T5/T6 and T6/T7 thoracic vertebrae","S23.1",
"S23.14","Dislocation of T7/T8 and T8/T9 thoracic vertebrae","S23.1",
"S23.15","Dislocation of T9/T10 and T10/T11 thoracic vertebrae","S23.1",
"S23.16","Dislocation of T11/T12 thoracic vertebrae","S23.1",
"S23.17","Dislocation of T12/L1 thoracolumbar vertebrae","S23.1",
"S24.10","Injury of thoracic spinal cord unspecified","S24.1",
"S24.11","Complete lesion of thoracic spinal cord","S24.1",
"S24.12","Incomplete cord syndrome of thoracic spinal cord","S24.1",
"S24.7","Functional level of thoracic spinal cord injury","Nil",
"S24.70","Functional spinal cord injury, thoracic level unspecified","Nil",
"S24.71","Functional spinal cord injury, T1","Nil",
"S24.72","Functional spinal cord injury, T2/T3","Nil",
"S24.73","Functional spinal cord injury, T4/T5","Nil",
"S24.74","Functional spinal cord injury, T6/T7","Nil",
"S24.75","Functional spinal cord injury, T8/T9","Nil",
"S24.76","Functional spinal cord injury, T10/T11","Nil",
"S24.77","Functional spinal cord injury, T12","Nil",
"S26.81","Contusion of heart","S26.8",
"S26.82","Laceration of heart without penetration into heart chamber","S26.8",
"S26.83","Laceration of heart with penetration into heart chamber","S26.8",
"S26.88","Other injuries of heart","S26.8",
"S27.31","Contusion and haematoma of lung","S27.3",
"S27.32","Laceration of lung","S27.3",
"S27.38","Other and unspecified injuries of lung","S27.3",
"S27.81","Injury of diaphragm","S27.8",
"S27.82","Injury of lymphatic thoracic duct","S27.8",
"S27.83","Injury of oesophagus (thoracic part)","S27.8",
"S27.84","Injury of thymus gland","S27.8",
"S27.88","Injury of other specified intrathoracic organs and structures","S27.8",
"S30.80","Other superficial injuries of abdomen, lower back and pelvis, unspecified","S30.8",
"S30.81","Other superficial injuries of abdomen, lower back and pelvis, abrasion","S30.8",
"S30.82","Other superficial injuries of abdomen, lower back and pelvis, blister","S30.8",
"S30.83","Other superficial injuries of abdomen, lower back and pelvis, insect bite","S30.8",
"S30.84","Other superficial injuries of abdomen, lower back and pelvis, superficial foreign body","S30.8",
"S30.88","Other superficial injuries of abdomen, lower back and pelvis, other","S30.8",
"S30.90","Superficial injury of abdomen, lower back and pelvis, part unspecified, unspecified","S30.9",
"S30.91","Superficial injury of abdomen, lower back and pelvis, part unspecified, abrasion","S30.9",
"S30.92","Superficial injury of abdomen, lower back and pelvis, part unspecified, blister","S30.9",
"S30.93","Superficial injury of abdomen, lower back and pelvis, part unspecified, insect bite","S30.9",
"S30.94","Superficial injury of abdomen, lower back and pelvis, part unspecified, superficial foreign body","S30.9",
"S30.98","Superficial injury of abdomen, lower back and pelvis, part unspecified, other","S30.9",
"S31.80","Open wound of other and unspecified parts of abdomen","S31.8",
"S31.81","Open wound (of any part of abdomen, lower back and pelvis) communicating with a fracture","S31.8",
"S31.82","Open wound (of any part of abdomen, lower back and pelvis) communicating with a dislocation","S31.8",
"S31.83","Open wound (of any part of abdomen, lower back and pelvis) communicating with an intra-abdominal injury","S31.8",
"S32.00","Fracture of lumbar vertebra, level unspecified","S32.0",
"S32.01","Fracture of lumbar vertebra, L1 level","S32.0",
"S32.02","Fracture of lumbar vertebra, L2 level","S32.0",
"S32.03","Fracture of lumbar vertebra, L3 level","S32.0",
"S32.04","Fracture of lumbar vertebra, L4 level","S32.0",
"S32.05","Fracture of lumbar vertebra, L5 level","S32.0",
"S32.81","Fracture of ischium","S32.8",
"S32.82","Fracture of lumbosacral spine, part unspecified","S32.8",
"S32.83","Fracture of pelvis, part unspecified","S32.8",
"S32.89","Other and multiple pelvic fractures","S32.8",
"S33.10","Dislocation of lumbar vertebra, level unspecified","S33.1",
"S33.11","Dislocation of L1/L2 lumbar vertebrae","S33.1",
"S33.12","Dislocation of L2/L3 lumbar vertebrae","S33.1",
"S33.13","Dislocation of L3/L4 lumbar vertebrae","S33.1",
"S33.14","Dislocation of L4/L5 lumbar vertebrae","S33.1",
"S33.15","Dislocation of L5/S1 lumbar vertebrae","S33.1",
"S33.51","Sprain and strain of lumbosacral [joint] [ligament]","S33.5",
"S34.7","Functional level of lumbar spinal cord injury","Nil",
"S34.70","Functional spinal cord injury, lumbar level unspecified","Nil",
"S34.71","Functional spinal cord injury, L1","Nil",
"S34.72","Functional spinal cord injury, L2","Nil",
"S34.73","Functional spinal cord injury, L3","Nil",
"S34.74","Functional spinal cord injury, L4","Nil",
"S34.75","Functional spinal cord injury, L5","Nil",
"S34.76","Functional spinal cord injury, sacrum","Nil",
"S36.00","Injury of spleen, unspecified","S36.0",
"S36.01","Haematoma of spleen","S36.0",
"S36.02","Capsule tears of spleen, without major disruption of parenchyma","S36.0",
"S36.03","Laceration of spleen extending into parenchyma","S36.0",
"S36.04","Massive parenchymal disruption of spleen","S36.0",
"S36.08","Other injury of spleen","S36.0",
"S36.10","Injury of liver, unspecified","S36.1",
"S36.11","Contusion and haematoma of liver","S36.1",
"S36.12","Laceration of liver, unspecified","S36.1",
"S36.13","Minor laceration of liver","S36.1",
"S36.14","Moderate laceration of liver","S36.1",
"S36.15","Major laceration of liver","S36.1",
"S36.16","Other injury of liver","S36.1",
"S36.17","Injury of gallbladder","S36.1",
"S36.18","Injury of bile duct","S36.1",
"S36.20","Injury of pancreas, part unspecified","S36.2",
"S36.21","Injury of head of pancreas","S36.2",
"S36.22","Injury of body of pancreas","S36.2",
"S36.23","Injury of tail of pancreas","S36.2",
"S36.29","Injury of other and multiple parts of pancreas","S36.2",
"S36.40","Injury of small intestine, part unspecified","S36.4",
"S36.41","Injury of duodenum","S36.4",
"S36.49","Injury of other and multiple parts of small intestine","S36.4",
"S36.50","Injury of colon, part unspecified","S36.5",
"S36.51","Injury of ascending [right] colon","S36.5",
"S36.52","Injury of transverse colon","S36.5",
"S36.53","Injury of descending [left] colon","S36.5",
"S36.54","Injury of sigmoid colon","S36.5",
"S36.59","Injury of other and multiple parts of colon","S36.5",
"S36.81","Injury of peritoneum","S36.8",
"S36.82","Injury of mesentery","S36.8",
"S36.83","Injury of retroperitoneum","S36.8",
"S36.88","Injury of other intra-abdominal organs","S36.8",
"S37.00","Injury of kidney, unspecified","S37.0",
"S37.01","Contusion and haematoma of kidney","S37.0",
"S37.02","Laceration of kidney","S37.0",
"S37.03","Complete disruption of kidney parenchyma","S37.0",
"S37.20","Injury of bladder, unspecified","S37.2",
"S37.21","Contusion of bladder","S37.2",
"S37.22","Rupture of bladder","S37.2",
"S37.28","Other injury of bladder","S37.2",
"S37.30","Injury of urethra, part unspecified","S37.3",
"S37.31","Injury of membranous urethra","S37.3",
"S37.32","Injury of penile urethra","S37.3",
"S37.33","Injury of prostatic urethra","S37.3",
"S37.38","Injury of other part of urethra","S37.3",
"S37.81","Injury of adrenal gland","S37.8",
"S37.82","Injury of prostate","S37.8",
"S37.83","Injury of seminal vesicle","S37.8",
"S37.84","Injury of vas deferens","S37.8",
"S37.88","Injury of other pelvic organ","S37.8",
"S40.81","Abrasion of shoulder and upper arm","S40.8",
"S40.82","Blister of shoulder and upper arm","S40.8",
"S40.83","Insect bite of shoulder and upper arm","S40.8",
"S40.84","Superficial foreign body (splinter) of shoulder and upper arm","S40.8",
"S40.88","Other superficial injuries of shoulder and upper arm","S40.8",
"S41.80","Unspecified open wound of other and unspecified parts of shoulder region","Nil",
"S41.81","Open wound (of any part of shoulder and upper arm) communicating with a fracture","Nil",
"S41.82","Open wound (of any part of shoulder and upper arm) communicating with a dislocation","S41.8",
"S42.00","Fracture of clavicle, part unspecified","S42.0",
"S42.01","Fracture of sternal end of clavicle","S42.0",
"S42.02","Fracture of shaft of clavicle","S42.0",
